game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
706.1000,9.0000,5.6777,2.9674,6.0391,5.5422,3.8525,3.8974,39.7581,28.2440,39.3168,16.5087,22.8631,12.5771,31.5520,6.4846,9.4559,4.0301,31.1812,13.3277,25.2932,9.5598,29.4825,13.0002,22.1478
706.0600,8.9800,5.8351,3.2224,5.9493,5.5908,3.9571,4.0010,39.9610,28.2601,39.3799,16.7463,22.8335,12.4797,31.4141,6.4253,8.8682,4.0380,31.2550,13.1690,25.2820,9.4970,29.3975,12.9620,22.2835
706.0200,8.9500,5.8295,3.6010,5.4821,5.6424,4.0338,4.1001,40.1598,28.2875,39.4290,16.9844,22.8635,12.3817,31.2502,6.3624,8.2852,4.0495,31.3998,13.0102,25.2674,9.4356,29.3084,12.9517,22.3912
705.9800,8.9300,5.4910,3.9706,4.8227,5.6598,4.1455,4.1800,40.3931,28.3250,39.4635,17.2376,22.8888,12.2360,31.0923,6.3355,7.6767,4.0641,31.5444,12.8528,25.2523,9.3772,29.2271,12.9690,22.4852
705.9400,8.9100,5.0688,4.0934,4.2667,5.6684,4.2307,4.2717,40.5717,28.3670,39.4879,17.5136,22.8384,12.0746,30.9257,6.3105,7.1142,4.0890,31.6233,12.7246,25.2538,9.3215,29.1629,13.0195,22.6170
705.9000,8.8800,4.5911,3.9829,4.2090,5.7302,4.2882,4.3434,40.7908,28.4112,39.5008,17.7968,22.7761,11.8972,30.7376,6.2780,6.6089,4.1107,31.7606,12.5840,25.2531,9.2684,29.1149,13.0418,22.7141
705.8600,8.8600,4.1052,3.7545,4.1803,5.8193,4.3285,4.4187,40.9970,28.4650,39.5082,18.0774,22.7919,11.7130,30.5443,6.2501,6.1585,4.1432,31.8246,12.3996,25.1973,9.1736,29.0471,13.0933,22.7962
705.8200,8.8400,3.7403,3.5624,4.1581,5.8856,4.3490,4.5018,41.1846,28.5231,39.5050,18.3380,22.7688,11.5733,30.4020,6.2180,5.7520,4.1782,31.8792,12.2224,25.1655,9.1104,29.0434,13.1570,22.8656
705.7800,8.8100,3.5383,3.4620,4.1360,5.9672,4.3495,4.5905,41.3641,28.5801,39.4935,18.6056,22.7283,11.4199,30.2619,6.1813,5.3882,4.2076,31.9408,12.0332,25.1219,9.0526,29.0583,13.2226,22.9320
705.7400,8.7900,3.4749,3.4933,3.7366,6.0217,4.3975,4.6818,41.5337,28.6367,39.4739,18.8812,22.6783,11.2234,30.0866,6.1381,5.0865,4.2362,32.0519,11.8339,25.0654,8.9855,29.0761,13.3023,23.0081
705.7000,8.7700,3.3697,3.5402,3.3776,6.0746,4.4140,4.7733,41.7009,28.6951,39.4528,19.1615,22.6089,11.0176,29.9209,6.1658,4.8495,4.2688,32.1620,11.6502,25.0156,8.9102,29.0799,13.3887,23.0623
705.6600,8.7400,3.2251,3.6011,3.0462,6.1245,4.4178,4.8644,41.8741,28.7549,39.4330,19.4200,22.4877,10.8536,29.7944,6.2260,4.6316,4.3030,32.2147,11.4856,24.9707,8.8254,29.0645,13.4794,23.0994
705.6200,8.7200,3.0471,3.6762,2.6517,6.1502,4.4183,4.9607,42.0491,28.8106,39.4142,19.6808,22.3657,10.6943,29.6698,6.2576,4.4550,4.3371,32.2603,11.3480,24.9503,8.7341,29.0364,13.5719,23.1247
705.5800,8.7000,2.8421,3.7656,2.1035,6.1263,4.5372,5.0594,42.2180,28.8642,39.3984,19.9844,22.2958,10.5357,29.5532,6.2271,4.4146,4.3600,32.3072,11.2014,24.9170,8.6365,28.9904,13.6642,23.1340
705.5400,8.6700,2.5550,3.8996,1.0049,6.0795,4.6804,5.1555,42.3787,28.9106,39.3808,20.2905,22.2251,10.4072,29.4280,6.2224,4.3840,4.3778,32.3372,11.0684,24.9050,8.5396,28.9227,13.7664,23.1477
705.5000,8.6500,2.4457,3.8504,0.8434,6.0214,4.8083,5.2508,42.5374,28.9504,39.3640,20.5943,22.1466,10.2610,29.3258,6.2222,4.4036,4.3824,32.3626,10.9633,24.8902,8.4429,28.8507,13.8709,23.1581
705.4600,8.6300,2.3821,3.8687,1.1659,5.9412,5.0014,5.3506,42.6937,28.9839,39.3489,20.9150,22.0484,10.1053,29.2493,6.2119,4.4052,4.3873,32.3898,10.8815,24.8900,8.3462,28.7754,13.9704,23.1681
705.4200,8.6100,2.3287,3.9212,1.9065,5.8407,5.2040,5.4475,42.8465,29.0090,39.3325,21.2419,21.9325,9.9727,29.2439,6.2412,4.5011,4.3951,32.3990,10.8313,24.9178,8.2446,28.6881,14.0655,23.1743
705.3800,8.5800,2.2918,4.0041,2.7251,5.7684,5.3983,5.5463,42.9944,29.0300,39.3207,21.5734,21.8074,9.8510,29.1909,6.2468,4.6514,4.4001,32.4081,10.7975,24.9524,8.1391,28.5842,14.1459,23.1796
705.3400,8.5600,2.2781,4.1138,3.2815,5.7087,5.5892,5.6414,43.1416,29.0524,39.3100,21.9176,21.6902,9.7528,29.1454,6.2532,4.8667,4.4030,32.4266,10.7617,24.9849,8.0231,28.4655,14.1605,23.1158
705.3000,8.5400,2.2854,4.3960,3.5169,5.6277,5.8747,5.7337,43.2859,29.0700,39.2963,22.2455,21.6475,9.6710,29.1157,6.2496,5.0492,4.4063,32.4455,10.7522,25.0290,7.8971,28.3344,14.1983,23.0848
